date,card_name,price,forecast
2025-11-01,Aurelia Voice of Dawn,65.00,65.80
2025-11-02,Aurelia Voice of Dawn,66.20,66.50
2025-11-03,Aurelia Voice of Dawn,65.80,66.10
2025-11-04,Aurelia Voice of Dawn,67.40,67.20
2025-11-05,Aurelia Voice of Dawn,68.50,68.00
2025-11-06,Aurelia Voice of Dawn,67.90,68.30
2025-11-07,Aurelia Voice of Dawn,69.20,69.50
2025-11-08,Aurelia Voice of Dawn,70.10,70.40
2025-11-09,Aurelia Voice of Dawn,69.80,70.20
2025-11-10,Aurelia Voice of Dawn,71.30,71.60
2025-11-11,Aurelia Voice of Dawn,72.40,72.10
2025-11-12,Aurelia Voice of Dawn,71.90,72.30
2025-11-13,Aurelia Voice of Dawn,73.50,73.80
2025-11-14,Aurelia Voice of Dawn,74.20,74.50
